Frame_Number,Vehicle_ID,Vehicle_Bbox,License_Plate_Bbox,License_Plate_Bbox_Score,License_Number,License_Number_Score
150,8.0,[530.1497554253276 583.6347198459076 791.5034330883557 810.3659615234436],[608.35986328125 705.1183471679688 705.1686401367188 761.3865966796875],0.5276039838790894,KK05ZIK,0.2733356533944693
150,1.0,[1026.8676971920004 636.7887957612048 1327.1505465553314 892.7057562620793],[1137.809814453125 783.26708984375 1245.411865234375 837.291015625],0.40745195746421814,AP05JEO,0.29971161029111204
151,1.0,[1027.0739025603318 637.874658916289 1329.573152252509 894.8981766358233],[1138.8955078125 786.1455688476562 1239.966064453125 841.559326171875],0.443792462348938,AP05JEO,0.5614397296262584
152,1.0,[1023.9718477989135 640.0469804034433 1328.9534187892095 896.9020632061813],[1132.8548583984375 793.0592651367188 1239.2127685546875 846.3825073242188],0.42124268412590027,AP05JEO,0.5411602105536348
153,1.0,[1024.0938799451199 642.3128405247932 1329.106140262534 900.2783831627165],[1137.23779296875 796.9876098632812 1244.358642578125 852.2814331054688],0.3115476369857788,AP05JEO,0.19299041301126962
154,8.0,[525.0542129476571 589.5493010514807 788.9430957276811 816.9399227673028],[608.4998779296875 721.8238525390625 694.65478515625 770.89990234375],0.2891677916049957,KK05ZZK,0.15637155375974143
156,1.0,[1025.5840246500736 650.1656097075031 1335.8084341065871 909.5775090874538],[1128.837158203125 802.3443603515625 1252.2791748046875 859.2059326171875],0.39068275690078735,AP05JEQ,0.278908983746812
157,1.0,[1022.184711471741 651.0856277461367 1333.5079754598564 911.1475658254585],[1127.4405517578125 802.19677734375 1255.6663818359375 860.2813110351562],0.32808125019073486,AP05JEO,0.30069329737330336
158,1.0,[1021.7111905845169 653.2556665035028 1333.922083428833 913.7860760456889],[1131.76123046875 803.5453491210938 1257.037109375 859.2453002929688],0.37386858463287354,AP05JEO,0.20099186810185177
159,1.0,[1021.6674331278699 655.0943942863075 1334.6582322066063 916.4644685533137],[1131.316162109375 805.23046875 1249.16162109375 864.400634765625],0.32818901538848877,AP05JEO,0.30657263223691966
161,8.0,[515.6367106227897 599.7815933264941 784.1920486431677 835.0169242436078],[604.6102294921875 732.0955810546875 695.8555297851562 784.111083984375],0.5615905523300171,KR05ZZK,0.27315382535957333
162,1.0,[1025.1633820789834 662.4962108422378 1337.4599725055627 926.3952375591277],[1130.844482421875 818.5504150390625 1261.072021484375 878.1846923828125],0.4337271749973297,AP05JEQ,0.3882540451998215
163,1.0,[1028.0121783494603 664.7026965934328 1340.0309626814526 929.4358843704977],[1133.2178955078125 819.9977416992188 1262.87353515625 878.3442993164062],0.39833879470825195,AP05JED,0.41890579957487456
164,1.0,[1029.7775294115531 666.6672406137781 1341.3506384478505 933.0081785812523],[1143.4130859375 823.5397338867188 1260.1337890625 879.6762084960938],0.5119063854217529,AP05JEO,0.5687017705899938
165,1.0,[1032.8495043221674 669.1683112002389 1342.7055670120071 937.4370663088436],[1135.051513671875 827.9774169921875 1260.968017578125 887.6083984375],0.43243181705474854,AP05JEO,0.5436831353505355
166,1.0,[1031.3447463739103 671.706380948979 1341.5308043809373 941.1704879543298],[1145.79150390625 826.9392700195312 1265.57568359375 882.3988037109375],0.5144777297973633,AP05JED,0.1868974593594643
166,8.0,[509.2311117947171 610.8935931194225 783.7142336322894 847.4511143349158],[599.43505859375 747.1433715820312 691.53271484375 802.8381958007812],0.4371415078639984,XH05ZIK,0.20067824781126237
167,1.0,[1030.1120849759552 674.6178764213286 1341.873387359625 944.6384823932998],[1157.1259765625 829.972412109375 1268.029052734375 886.1500854492188],0.4072818458080292,AP05JEQ,0.6085631678694956
167,8.0,[508.8241714115096 613.3829449242505 784.0174822204195 850.2234210777233],[595.6812744140625 747.2788696289062 687.9744873046875 802.2467651367188],0.39241108298301697,KN05ZTK,0.3538539794596979
170,1.0,[1039.7114056181194 680.123079750398 1349.08510265304 950.6079154247178],[1136.816162109375 846.758544921875 1264.590087890625 903.18408203125],0.4554164409637451,AP05JEO,0.2628341555016656
170,8.0,[504.16646540237434 621.3491475672272 781.6115854271445 859.9919839064212],[595.60888671875 753.3565063476562 683.8153076171875 806.6812133789062],0.2589174211025238,KN05ZIX,0.26134127018229464
172,1.0,[1037.0618398942013 687.217256333011 1350.379828851282 958.9507363739509],[1140.5653076171875 849.4295654296875 1266.6304931640625 906.0333251953125],0.477817177772522,AP05JEO,0.8366914145777475
173,8.0,[502.65889710559577 628.687582383988 781.0482871093218 865.1940823708858],[588.3665771484375 758.8919677734375 690.78076171875 812.1485595703125],0.4162174463272095,II05ZZK,0.10159275066991101
173,1.0,[1040.0489152680934 689.4214448143496 1353.1991220047748 962.0420691682561],[1141.3935546875 850.5313110351562 1263.044921875 906.9138793945312],0.28598925471305847,AP05JEO,0.34174073053131077
174,1.0,[1042.2346130040219 692.7294623431941 1354.8877682989473 965.5899741648553],[1142.632568359375 852.400146484375 1271.26220703125 909.0374755859375],0.3741072416305542,AF05JEO,0.5195413353409898
175,1.0,[1041.6111352557352 696.3360646329274 1354.8717964807472 969.2498913907766],[1144.2509765625 856.181396484375 1263.88916015625 918.34423828125],0.41814470291137695,AP05JEU,0.32878287919667076
177,1.0,[1044.0705092586074 703.3570291136174 1358.4430189614243 977.0859264324116],[1148.02783203125 871.38134765625 1271.999267578125 924.8909912109375],0.4910314381122589,AP05JEO,0.54168108220551
178,1.0,[1044.386906806648 705.718215199865 1361.4845226729337 980.4730042149638],[1144.67529296875 869.1666870117188 1276.38037109375 927.6392211914062],0.38339856266975403,AF05JEO,0.512792293745468
179,1.0,[1045.2203426612 707.9615154373146 1364.2904781186458 983.7514775190043],[1147.7923583984375 874.79248046875 1279.513427734375 931.8946533203125],0.5465030670166016,AP05JED,0.17090261035578325
181,8.0,[493.06393943796843 644.0927423370899 773.6399862374396 887.0784895580114],[581.8355102539062 780.6608276367188 680.9888916015625 835.604736328125],0.4614757299423218,KH05ZZK,0.19013496558686824
181,1.0,[1047.0697955312642 713.359330428559 1366.9752044424674 992.3710184255752],[1171.2396240234375 875.8538818359375 1276.4381103515625 928.2271728515625],0.42994993925094604,AP05JEO,0.20157686710997297
182,8.0,[492.34140855430235 647.6309716131192 773.0309407461881 891.0268526039523],[584.380126953125 785.2056884765625 681.9654541015625 837.9926147460938],0.40669432282447815,KH05ZZG,0.06742525184249382
182,1.0,[1046.5504958998574 714.4021445136096 1369.526677573442 994.6918324617412],[1155.985107421875 880.33349609375 1281.3115234375 940.5213623046875],0.40412867069244385,AP05JED,0.684549981626019
183,8.0,[490.538534423299 650.7526609817384 770.9071776494155 894.6656476042218],[579.6304931640625 796.371826171875 680.7688598632812 847.9727783203125],0.33988484740257263,KH05ZZG,0.06878014234886912
184,8.0,[488.51554248955927 652.5998932319806 768.8334206820214 897.5361518588422],[581.641357421875 794.76708984375 684.3544921875 848.701904296875],0.4063059389591217,RH05ZZK,0.264950121378138
184,1.0,[1045.520288271644 719.5315961038416 1376.4159834487336 1000.7203535457218],[1155.0465087890625 892.756591796875 1284.311279296875 948.279296875],0.382312148809433,AP05JED,0.9440887472333174
185,8.0,[488.1881408058034 653.966236614805 768.4184051960267 900.0465302229848],[575.27978515625 796.3339233398438 677.231689453125 854.5046997070312],0.46355995535850525,RH05ZZK,0.1012604813489463
185,1.0,[1045.657633499111 723.0628223723974 1378.9399508275155 1005.1326415077741],[1151.3609619140625 892.8579711914062 1283.7894287109375 953.6665649414062],0.4422246813774109,AP05JED,0.8124932447801528
186,1.0,[1045.858427254947 726.8246197878035 1382.2367111815006 1010.2028586646423],[1150.8358154296875 896.0359497070312 1292.6722412109375 958.194580078125],0.4515605568885803,AP05JEO,0.46634597709716014
186,8.0,[486.60053745684934 655.7148393290383 767.6687565457206 903.5098702974435],[576.7343139648438 797.1163330078125 676.6549682617188 855.5390625],0.42597559094429016,RH05ZZI,0.02745363753830658
187,1.0,[1044.316260454069 729.1618399328446 1381.8978770938297 1013.7318589205871],[1152.9188232421875 897.8772583007812 1291.162353515625 958.9458618164062],0.3813360035419464,AP05JEO,0.20455345400113908
187,8.0,[484.11459139317196 658.1767427867832 766.409436754917 907.2592016989557],[580.5994873046875 802.6737060546875 673.28955078125 855.1441650390625],0.37449586391448975,QH05ZZK,0.11130106645204671
188,1.0,[1045.675550669474 733.1292844071024 1385.0748220397645 1018.1394557836113],[1149.7506103515625 900.20654296875 1289.5130615234375 963.334716796875],0.45135223865509033,AP05JED,0.6916236052361947
188,8.0,[481.3781101223834 660.3595440234714 765.7210688830938 910.8872833719214],[578.7763061523438 802.5550537109375 673.5374145507812 854.932373046875],0.41309210658073425,XN05ZIK,0.049915297044603686
189,1.0,[1045.5598453287967 737.4784480741139 1385.0845209918248 1022.9696109866857],[1155.74609375 909.2308959960938 1289.091064453125 967.1310424804688],0.4121779501438141,AP05JEQ,0.30509376235977265
